name,nature_of_inclusion
"Abe Silverstein","NASA manager who named the Apollo Program."
"Andy Grove","Intel CEO and Author of High Output Management."
"Apollo","Greek god; Apollo Program namesake and mythic contrast to Dionysus."
"Friedrich Nietzsche","Philosopher; Apollonian/Dionysian, aesthetics, tragedy framework."
"Dionysus","Greek god; Dionysus Program namesake and mythic contrast to Apollo."
"Confucius","Philosopher; Li/Ren ritual-humaneness distinction and Analects quote."
"James Carse","Author; finite vs. infinite games framing."
"Karl Popper","Philosopher of science; error-correction/falsification."
"David Deutsch","Physicist/philosopher; explanations and provisional knowledge."
"Émile Durkheim","Sociologist; anomie and collective effervescence."
"Marcel Mauss","Anthropologist/sociologist; gift theory and reciprocal obligation."
"René Girard","Theorist; mimetic desire and scapegoating."
"Ibn Khaldun","Historian/sociologist; Asabiyyah (group feeling)."
"Machiavelli","Political philosopher; founding violence and legitimacy."
"Mary Douglas","Anthropologist; purity, taboo, boundary formation."
"Job","Biblical figure; patience and suffering archetype."
"Max Weber","Sociologist; bureaucracy and routinization of charisma."
"Robert Michels","Sociologist; iron law of oligarchy."
"Victor Turner","Anthropologist; ritual, liminality, communitas."
"Georg Wilhelm Friedrich Hegel","Philosopher; tragedy and recognition (Aufhebung)."
"Ilya Prigogine","Scientist; dissipative structures."
"Yoshinori Ohsumi","Biologist; autophagy research."
"Nassim Nicholas Taleb","Author; antifragility/volatility."
"Benoit Mandelbrot","Mathematician; fractals/roughness."
"Lucius Quinctius Cincinnatus","Roman exemplar; rotating emergency authority."
"Thomas Schelling","Economist; coordination/common knowledge."
"Robert K. Merton","Sociologist; strain theory."
"Immanuel Kant","Philosopher; aesthetic education."
"Friedrich Schiller","Philosopher/poet; aesthetic education."
"Aristotle","Philosopher; tragedy arc."
"Seneca","Stoic philosopher; mutual improvement through association."
"Jane Jacobs","Urbanist; 'sidewalk ballet' of civic trust and proximity."
"Johan Huizinga","Historian; play as foundational to culture (Homo Ludens)."
"Georg Simmel","Sociologist; sociability as the play-form of association."
"Alexis de Tocqueville","Political thinker; art of association in democratic life."
"Ed Catmull","Pixar leader; Braintrust candor quote."
"Claude Shannon","Bell Labs researcher; example of intense critique."
"Kelly Johnson","Skunk Works leader; codified operating rules."
"J. Robert Oppenheimer","Los Alamos leader; collaboration rituals."
"Reid Hoffman","PayPal Mafia member; post-PayPal founder/investor."
"Peter Thiel","PayPal Mafia member."
"Elon Musk","PayPal Mafia member; SpaceX founder; gambler case."
"James McNerney","3M CEO; Six Sigma case."
"Steve Jobs","Apple return; fragile survivor case."
"Gil Amelio","Apple CEO era; process bloat."
"Carl Icahn","Marvel bankruptcy power struggle."
"Howard Schultz","Starbucks founder/CEO return."
"Kevin Feige","Marvel Studios leader; MCU bet."
"Travis Kalanick","Uber CEO; pyrrhic leader case."
"Susan Fowler","Uber whistleblower; harassment blog catalyst."
"Greg Smith","Goldman Sachs op-ed resignation."
"Jerry Yang","Yahoo CEO in carousel."
"Marissa Mayer","Yahoo CEO; management theater case."
"Carly Fiorina","HP CEO in restructuring cycle."
"Léo Apotheker","HP CEO in restructuring cycle."
"Jim Balsillie","BlackBerry co-CEO."
"Mike Lazaridis","BlackBerry co-CEO."
"Steve Sasson","Kodak engineer; invented the digital camera."
"Jeff Immelt","GE CEO; digital transformation case."
"Adam Neumann","WeWork founder/CEO."
"Solon","Athenian lawgiver; reforms on atimia, hubris, and civic order."
"Michel Foucault","Philosopher; power, discipline, and the politics of punishment."
"Sepp Blatter","FIFA president; oligarchic decay case."
"Robert Mugabe","Zimbabwe leader; oligarchic decay case."
"Eddie Lampert","Sears leader; death spiral case."
"Leonid Brezhnev","Soviet leader (Brezhnev era)."
"Leon Trotsky","Identified bureaucratic dysfunction (glavkokratiia)."
"Mikhail Gorbachev","Introduced glasnost."
"Alfred Sloan","GM management system origin."
"Howie Makem","Fictional GM mascot cat used as management-theater symbol."
